BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ListOfAllPropertyUseTypes_list
NonResidential,Hotel,98101,DOWNTOWN,1927,1,12,0,88434,Hotel,82,7226362,3946027,1276453,250,['Hotel']
NonResidential,Hotel,98101,DOWNTOWN,1996,1,11,15064,88502,"Hotel, Parking, Restaurant",95,8387933,3242851,5145082,296,"['Hotel', 'Parking', 'Restaurant']"
NonResidential,Hotel,98101,DOWNTOWN,1926,1,10,0,61320,Hotel,111,6794584,2768924,1811213,286,['Hotel']
NonResidential,Hotel,98121,DOWNTOWN,1980,1,18,62000,113580,"Hotel, Parking, Swimming Pool",115,14172606,5368607,8803998,505,"['Hotel', 'Parking', 'Swimming Pool']"
Nonresidential COS,Other,98101,DOWNTOWN,1999,1,2,37198,60090,Police Station,136,12086616,7371434,4715182,302,['Police Station']
NonResidential,Hotel,98101,DOWNTOWN,1926,1,11,0,83008,Hotel,71,5758795,2811215,2947580,176,['Hotel']
NonResidential,Other,98101,DOWNTOWN,1926,1,8,0,102761,Other - Entertainment/Public Assembly,61,6298132,3636655,385189,222,['Other - Entertainment/Public Assembly']
NonResidential,Hotel,98104,DOWNTOWN,1904,1,15,0,163984,Hotel,84,13723820,7297919,6425900,392,['Hotel']
NonResidential,Hotel,98101,DOWNTOWN,1969,1,11,19279,133884,Hotel,120,16016644,6187627,4591850,691,['Hotel']
NonResidential,Hotel,98101,DOWNTOWN,1998,1,25,61161,272015,Hotel,80,26941110,18083049,2858700,741,['Hotel']
NonResidential,Hotel,98104,DOWNTOWN,1928,1,9,0,65009,Hotel,102,6596058,1343000,3596705,328,['Hotel']
NonResidential,Hotel,98101,DOWNTOWN,1922,1,11,25200,66990,"Hotel, Parking",160,10750010,3832369,2046793,511,"['Hotel', 'Parking']"
Nonresidential COS,Other,98154,DOWNTOWN,2004,1,11,57000,355000,"Data Center, Library, Parking",51,18588860,17851297,0,181,"['Data Center', 'Library', 'Parking']"
NonResidential,Other,98104,DOWNTOWN,1930,1,6,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",77,9956396,4453868,910180,434,"['Fitness Center/Health Club/Gym', 'Office', 'Swimming Pool']"
NonResidential,Hotel,98104,DOWNTOWN,1983,1,28,85000,331281,"Hotel, Parking",96,33556756,21225277,12331475,803,"['Hotel', 'Parking']"
NonResidential,Mixed Use Property,98104,DOWNTOWN,1907,1,5,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",132,7606084,3764791,2065091,273,"['Office', 'Other', 'Other - Lodging/Residential', 'Restaurant', 'Social/Meeting Hall']"
NonResidential,Hotel,98104,DOWNTOWN,1916,1,10,0,104352,Hotel,97,10154608,5908370,815376,349,['Hotel']
NonResidential,Other,98104,DOWNTOWN,1985,1,19,0,385274,Other,124,47859812,18257661,29602150,1699,['Other']
SPS-District K-12,K-12 School,98118,SOUTHEAST,1961,1,2,0,56228,K-12 School,26,1539478,936955,602523,39,['K-12 School']
NonResidential,Hotel,98105,NORTHEAST,2001,1,6,30586,58006,"Hotel, Parking",63,3663534,2266231,1397303,90,"['Hotel', 'Parking']"
NonResidential,University,98121,DOWNTOWN,1928,1,7,0,126593,College/University,91,11343686,4647474,6696211,388,['College/University']
NonResidential,Other,98101,DOWNTOWN,1930,1,2,0,67224,Automobile Dealership,20,1310237,1310236,0,9,['Automobile Dealership']
NonResidential,Hotel,98101,EAST,1991,1,8,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",46,5328052,572307,4755745,257,"['Hotel', 'Parking', 'Retail Store', 'Swimming Pool']"
NonResidential,Hotel,98101,DOWNTOWN,2001,1,10,38281,133585,Hotel,86,11061916,5610706,5451210,329,['Hotel']
NonResidential,Hotel,98121,DOWNTOWN,1978,1,5,16200,52210,Hotel,93,4456714,2346349,2110365,128,['Hotel']
SPS-District K-12,K-12 School,98125,NORTH,1949,1,2,0,160645,K-12 School,41,6779173,1947601,4831572,270,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98070,LAKE UNION,1906,1,3,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",62,4145920,1352843,2793077,158,"['K-12 School', 'Multifamily Housing', 'Office', 'Other - Entertainment/Public Assembly']"
NonResidential,Hotel,98105,NORTHEAST,1994,1,4,0,81871,Hotel,82,6668568,3016399,3652169,215,['Hotel']
NonResidential,Self-Storage Facility,98105,NORTHEAST,1955,1,2,0,110356,Self-Storage Facility,12,318365,281265,37100,4,['Self-Storage Facility']
SPS-District K-12,K-12 School,98199,MAGNOLIA / QUEEN ANNE,1990,1,2,0,54986,K-12 School,30,1650279,1217589,432690,31,['K-12 School']
SPS-District K-12,K-12 School,98115,NORTHEAST,1950,1,2,0,175565,K-12 School,35,6399128,1599684,4799443,266,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98107,BALLARD,1961,1,2,0,94900,"Non-Refrigerated Warehouse, Office",65,6186462,4291585,1894876,131,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1900,1,2,0,52554,"Office, Other - Education",50,2951331,1579749,1371582,84,"['Office', 'Other - Education']"
NonResidential,K-12 School,98103,NORTHWEST,1954,1,3,0,175015,K-12 School,40,6994740,2679739,4315001,248,['K-12 School']
NonResidential,Self-Storage Facility,98121,DOWNTOWN,1911,1,3,0,70586,"Office, Self-Storage Facility, Vocational School",31,2158629,1500229,658400,45,"['Office', 'Self-Storage Facility', 'Vocational School']"
NonResidential,Hotel,98101,DOWNTOWN,1969,1,24,205970,126240,Hotel,46,16163194,12204406,3958787,295,['Hotel']
NonResidential,Large Office,98101,DOWNTOWN,1973,1,5,0,168115,"Data Center, Office, Retail Store",56,9536161,9536160,0,66,"['Data Center', 'Office', 'Retail Store']"
NonResidential,Other,98101,DOWNTOWN,1920,1,2,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",22,1247362,714939,532423,33,"['Other - Mall', 'Personal Services (Health/Beauty', 'Dry Cleaning', 'etc)']"
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,8,0,59400,"Office, Retail Store",85,5071974,5071973,0,35,"['Office', 'Retail Store']"
NonResidential,Mixed Use Property,98101,DOWNTOWN,1926,1,2,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",286,15026196,4632459,10393737,584,"['Office', 'Other - Entertainment/Public Assembly', 'Restaurant']"
NonResidential,Hotel,98101,DOWNTOWN,1930,1,20,10043,88591,"Hotel, Parking, Restaurant",55,4841348,4290059,551288,59,"['Hotel', 'Parking', 'Restaurant']"
NonResidential,Hotel,98101,DOWNTOWN,1985,1,7,0,71150,"Hotel, Parking, Restaurant, Retail Store",93,5348309,3243900,2104408,134,"['Hotel', 'Parking', 'Restaurant', 'Retail Store']"
NonResidential,Hotel,98101,DOWNTOWN,1908,1,7,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",44,5401278,1293561,4107716,227,"['Hotel', 'Other - Entertainment/Public Assembly', 'Retail Store']"
NonResidential,Hotel,98109,LAKE UNION,1959,1,5,42546,70627,"Hotel, Parking",75,5284344,2944680,2339663,145,"['Hotel', 'Parking']"
NonResidential,Hotel,98109,LAKE UNION,2000,1,7,34735,115718,Hotel,61,6715187,3396109,3319078,200,['Hotel']
NonResidential,Hotel,98109,LAKE UNION,1997,1,6,28200,88100,Hotel,66,5827596,3188457,2639138,162,['Hotel']
NonResidential,Hotel,98119,MAGNOLIA / QUEEN ANNE,1998,1,6,36744,118858,Hotel,44,6836900,4558937,2277962,153,['Hotel']
NonResidential,K-12 School,98136,EAST,1911,1,3,0,56072,K-12 School,58,3234788,551867,2682920,146,['K-12 School']
NonResidential,Hotel,98109,MAGNOLIA / QUEEN ANNE,1999,1,4,44891,78051,"Hotel, Parking",68,5337334,2423730,2913604,172,"['Hotel', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98122,CENTRAL,1962,1,2,0,54984,Office,61,3375211,1978230,1396981,88,['Office']
NonResidential,Senior Care Community,98126,SOUTHWEST,1922,1,5,0,217603,"Parking, Senior Care Community",144,42792072,11824772,30967300,1727,"['Parking', 'Senior Care Community']"
NonResidential,Senior Care Community,98133,NORTHWEST,1970,1,2,0,93397,Senior Care Community,176,16402563,5679498,10723064,609,['Senior Care Community']
NonResidential,Hotel,98109,LAKE UNION,2008,1,6,20732,63371,"Hotel, Parking",58,3706100,2812688,893412,67,"['Hotel', 'Parking']"
NonResidential,Medical Office,98122,EAST,1965,1,3,0,179014,Medical Office,93,16701055,9886484,6814570,431,['Medical Office']
NonResidential,Hotel,98104,EAST,1908,1,7,0,76631,Hotel,95,7258758,2660742,4598016,263,['Hotel']
NonResidential,Mixed Use Property,98104,EAST,1983,1,6,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",204,15473117,10145313,0,482,"['Data Center', 'Medical Office', 'Non-Refrigerated Warehouse', 'Office', 'Other', 'Parking']"
NonResidential,Retail Store,98109,LAKE UNION,1929,1,2,0,58320,Retail Store,15,1049749,361803,687945,39,['Retail Store']
NonResidential,Large Office,98109,LAKE UNION,2010,1,5,0,316306,"Office, Other, Parking, Retail Store",48,13795954,12871091,924861,139,"['Office', 'Other', 'Parking', 'Retail Store']"
NonResidential,Hotel,98109,LAKE UNION,1990,1,7,44766,238097,"Hotel, Parking",82,19459304,10980652,8478651,527,"['Hotel', 'Parking']"
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,1,0,389000,Other,64,23658978,14419146,688680,607,['Other']
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,1,0,91213,Other,125,8141156,3754115,0,344,['Other']
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1938,1,5,0,396085,Other,75,20955026,7252325,0,804,['Other']
Nonresidential COS,Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,2,0,52000,Other,52,2726369,1293349,0,102,['Other']
