PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Other,98101,DOWNTOWN,1926,1,8,0,102761,Other - Entertainment/Public Assembly,61,6298132,3636655,385189,222
Mixed Use Property,98104,DOWNTOWN,1907,1,5,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",132,7606084,3764791,2065091,273
K-12 School,98118,SOUTHEAST,1961,1,2,0,56228,K-12 School,26,1539478,936955,602523,39
Other,98101,DOWNTOWN,1930,1,2,0,67224,Automobile Dealership,20,1310237,1310236,0,9
Small- and Mid-Sized Office,98070,LAKE UNION,1906,1,3,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",62,4145920,1352843,2793077,158
Hotel,98105,NORTHEAST,1994,1,4,0,81871,Hotel,82,6668568,3016399,3652169,215
Self-Storage Facility,98105,NORTHEAST,1955,1,2,0,110356,Self-Storage Facility,12,318365,281265,37100,4
K-12 School,98199,MAGNOLIA / QUEEN ANNE,1990,1,2,0,54986,K-12 School,30,1650279,1217589,432690,31
Small- and Mid-Sized Office,98107,BALLARD,1961,1,2,0,94900,"Non-Refrigerated Warehouse, Office",65,6186462,4291585,1894876,131
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1900,1,2,0,52554,"Office, Other - Education",50,2951331,1579749,1371582,84
Self-Storage Facility,98121,DOWNTOWN,1911,1,3,0,70586,"Office, Self-Storage Facility, Vocational School",31,2158629,1500229,658400,45
Large Office,98101,DOWNTOWN,1973,1,5,0,168115,"Data Center, Office, Retail Store",56,9536161,9536160,0,66
Other,98101,DOWNTOWN,1920,1,2,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",22,1247362,714939,532423,33
Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,8,0,59400,"Office, Retail Store",85,5071974,5071973,0,35
Hotel,98101,DOWNTOWN,1985,1,7,0,71150,"Hotel, Parking, Restaurant, Retail Store",93,5348309,3243900,2104408,134
K-12 School,98136,EAST,1911,1,3,0,56072,K-12 School,58,3234788,551867,2682920,146
Small- and Mid-Sized Office,98122,CENTRAL,1962,1,2,0,54984,Office,61,3375211,1978230,1396981,88
Retail Store,98109,LAKE UNION,1929,1,2,0,58320,Retail Store,15,1049749,361803,687945,39
Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,2,0,52000,Other,52,2726369,1293349,0,102
Other,98109,MAGNOLIA / QUEEN ANNE,1928,1,1,0,60696,Other,8,875943,875943,0,6
K-12 School,98112,EAST,1923,1,3,0,67743,K-12 School,39,2646879,1337786,1309093,79
K-12 School,98118,SOUTHEAST,1989,1,3,0,59955,K-12 School,27,1633399,1436416,196983,20
K-12 School,98119,MAGNOLIA / QUEEN ANNE,1964,1,2,0,93218,K-12 School,31,2887392,1486758,1400634,85
Other,98115,NORTHEAST,1941,1,4,0,56521,Other,130,6357632,6357631,0,44
Hotel,98133,NORTHWEST,2001,1,4,0,51390,"Hotel, Parking",70,3611538,1398289,2213249,127
K-12 School,98133,NORTHWEST,1963,1,2,0,131013,K-12 School,30,3894584,1775488,2119097,125
Hotel,98133,NORTHWEST,2002,1,3,0,69138,Hotel,46,3242458,1802889,1439568,89
Hotel,98104,DOWNTOWN,1904,1,5,0,190980,"Hotel, Parking",34,6505995,4402910,2103084,142
K-12 School,98107,BALLARD,1991,1,2,0,55513,K-12 School,26,1513571,1513571,0,11
Other,98104,DOWNTOWN,2006,1,4,0,61156,"Office, Other",130,9363374,6947270,2416104,177
University,98122,EAST,1915,1,3,0,63330,College/University,47,3059758,1911064,1148694,74
Other,98134,GREATER DUWAMISH,1950,1,1,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",109,7475578,4182001,3293576,204
K-12 School,98118,SOUTHEAST,2001,1,3,0,78804,K-12 School,32,2499140,1645214,853926,57
K-12 School,98122,CENTRAL,2002,1,3,0,66994,K-12 School,35,2371304,1824845,546459,42
K-12 School,98118,GREATER DUWAMISH,2000,1,3,0,98357,K-12 School,35,3456132,1927067,1529064,95
Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1958,1,1,0,54765,"Office, Other",84,4253370,3569337,684032,61
Other,98118,GREATER DUWAMISH,2009,1,5,0,89821,"Food Service, Office, Other - Lodging/Residential",22,1950092,67462,1882631,100
University,98119,MAGNOLIA / QUEEN ANNE,1980,1,2,0,52611,College/University,78,4116872,2479273,1637598,104
K-12 School,98117,NORTHWEST,2002,1,3,0,62526,K-12 School,32,1986095,1114389,871706,54
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,2007,1,3,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",60,3242078,2657382,584696,50
Retail Store,98125,NORTH,1965,1,4,0,124342,Retail Store,72,8765978,8653621,112356,66
Other,98133,NORTHWEST,1996,1,3,0,55442,"Financial Office, Medical Office, Parking",86,3191228,1859345,1331883,84
Self-Storage Facility,98122,EAST,1910,1,5,0,84870,Self-Storage Facility,16,1381590,482635,898955,51
