PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
Hotel,98101,DOWNTOWN,1927,1,12,0,88434,Hotel,82,7226362,3946027,1276453,250,1.8096050754129476,3.048908915034946
Hotel,98101,DOWNTOWN,1926,1,10,0,61320,Hotel,111,6794584,2768924,1811213,286,1.6311839355580282,3.626544854202986
Hotel,98101,DOWNTOWN,1926,1,11,0,83008,Hotel,71,5758795,2811215,2947580,176,1.2031708037421716,1.861546151189531
Other,98101,DOWNTOWN,1926,1,8,0,102761,Other - Entertainment/Public Assembly,61,6298132,3636655,385189,222,1.4260379306127684,2.5996365179042487
Mixed Use Property,98104,DOWNTOWN,1907,1,5,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",132,7606084,3764791,2065091,273,1.9665154137534597,3.417954098392305
K-12 School,98118,SOUTHEAST,1961,1,2,0,56228,K-12 School,26,1539478,936955,602523,39,-0.5403532955617262,-0.3366795061999537
Hotel,98105,NORTHEAST,2001,1,6,30586,58006,"Hotel, Parking",63,3663534,2266231,1397303,90,0.3373581502175409,0.4816380742881027
Other,98101,DOWNTOWN,1930,1,2,0,67224,Automobile Dealership,20,1310237,1310236,0,9,-0.6350812356640045,-0.8180427888399868
Hotel,98101,EAST,1991,1,8,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",46,5328052,572307,4755745,257,1.0251773509851356,3.1612270143176207
Hotel,98121,DOWNTOWN,1978,1,5,16200,52210,Hotel,93,4456714,2346349,2110365,128,0.6651193601683139,1.091364898965478
K-12 School,98125,NORTH,1949,1,2,0,160645,K-12 School,41,6779173,1947601,4831572,270,1.6248157366541838,3.3698177701283014
Small- and Mid-Sized Office,98070,LAKE UNION,1906,1,3,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",62,4145920,1352843,2793077,158,0.5366917428740798,1.5727281816055112
Hotel,98105,NORTHEAST,1994,1,4,0,81871,Hotel,82,6668568,3016399,3652169,215,1.579111068575557,2.487318418621574
Self-Storage Facility,98105,NORTHEAST,1955,1,2,0,110356,Self-Storage Facility,12,318365,281265,37100,4,-1.0449467981293883,-0.8982700026133257
K-12 School,98199,MAGNOLIA / QUEEN ANNE,1990,1,2,0,54986,K-12 School,30,1650279,1217589,432690,31,-0.49456763553026345,-0.46504304823729586
K-12 School,98115,NORTHEAST,1950,1,2,0,175565,K-12 School,35,6399128,1599684,4799443,266,1.467771926881192,3.3056359991096307
Small- and Mid-Sized Office,98107,BALLARD,1961,1,2,0,94900,"Non-Refrigerated Warehouse, Office",65,6186462,4291585,1894876,131,1.3798931787087834,1.1395012272294813
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1900,1,2,0,52554,"Office, Other - Education",50,2951331,1579749,1371582,84,0.043058600291205944,0.38536541776009603
K-12 School,98103,NORTHWEST,1954,1,3,0,175015,K-12 School,40,6994740,2679739,4315001,248,1.713893248373413,3.0168180295256106
Self-Storage Facility,98121,DOWNTOWN,1911,1,3,0,70586,"Office, Self-Storage Facility, Vocational School",31,2158629,1500229,658400,45,-0.28450508846846734,-0.24040684967194706
Large Office,98101,DOWNTOWN,1973,1,5,0,168115,"Data Center, Office, Retail Store",56,9536161,9536160,0,66,2.7640700329044194,0.09654744817607616
Other,98101,DOWNTOWN,1920,1,2,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",22,1247362,714939,532423,33,-0.6610627103301016,-0.43295216272796033
Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,8,0,59400,"Office, Retail Store",85,5071974,5071973,0,35,0.9193597117080811,-0.40086127721862475
Hotel,98101,DOWNTOWN,1985,1,7,0,71150,"Hotel, Parking, Restaurant, Retail Store",93,5348309,3243900,2104408,134,1.0335480346004218,1.1876375554934846
Hotel,98101,DOWNTOWN,1908,1,7,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",44,5401278,1293561,4107716,227,1.0554361098543144,2.6798637316775875
Hotel,98109,LAKE UNION,1959,1,5,42546,70627,"Hotel, Parking",75,5284344,2944680,2339663,145,1.0071161455027375,1.3641374257948302
Hotel,98109,LAKE UNION,2000,1,7,34735,115718,Hotel,61,6715187,3396109,3319078,200,1.598375169847267,2.2466367773015574
Hotel,98109,LAKE UNION,1997,1,6,28200,88100,Hotel,66,5827596,3188457,2639138,162,1.231601045308806,1.6369099526241822
Hotel,98119,MAGNOLIA / QUEEN ANNE,1998,1,6,36744,118858,Hotel,44,6836900,4558937,2277962,153,1.6486699328855918,1.4925009678321723
K-12 School,98136,EAST,1911,1,3,0,56072,K-12 School,58,3234788,551867,2682920,146,0.1601899062860826,1.380182868549498
Hotel,98109,MAGNOLIA / QUEEN ANNE,1999,1,4,44891,78051,"Hotel, Parking",68,5337334,2423730,2913604,172,1.0290128984658626,1.7973643801708599
Small- and Mid-Sized Office,98122,CENTRAL,1962,1,2,0,54984,Office,61,3375211,1978230,1396981,88,0.21821609502623915,0.44954718877876715
