PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Hotel,98101,DOWNTOWN,1926,1,11,0,83008,Hotel,71,5758795,2811215,2947580,176,33.86679597147263,11
Other,98101,DOWNTOWN,1926,1,8,0,102761,Other - Entertainment/Public Assembly,61,6298132,3636655,385189,222,35.38944735843365,8
K-12 School,98118,SOUTHEAST,1961,1,2,0,56228,K-12 School,26,1539478,936955,602523,39,16.663495055844063,2
Hotel,98105,NORTHEAST,2001,1,6,30586,58006,"Hotel, Parking",63,3663534,2266231,1397303,90,39.06890666482778,6
Other,98101,DOWNTOWN,1930,1,2,0,67224,Automobile Dealership,20,1310237,1310236,0,9,19.490598595739616,2
Hotel,98121,DOWNTOWN,1978,1,5,16200,52210,Hotel,93,4456714,2346349,2110365,128,44.940605248036775,5
Small- and Mid-Sized Office,98070,LAKE UNION,1906,1,3,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",62,4145920,1352843,2793077,158,15.503231647223304,3
Hotel,98105,NORTHEAST,1994,1,4,0,81871,Hotel,82,6668568,3016399,3652169,215,36.843314482539604,4
Self-Storage Facility,98105,NORTHEAST,1955,1,2,0,110356,Self-Storage Facility,12,318365,281265,37100,4,2.5487060060168907,2
K-12 School,98199,MAGNOLIA / QUEEN ANNE,1990,1,2,0,54986,K-12 School,30,1650279,1217589,432690,31,22.143618375586513,2
Small- and Mid-Sized Office,98107,BALLARD,1961,1,2,0,94900,"Non-Refrigerated Warehouse, Office",65,6186462,4291585,1894876,131,45.22218124341412,2
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1900,1,2,0,52554,"Office, Other - Education",50,2951331,1579749,1371582,84,30.059538760132437,2
Self-Storage Facility,98121,DOWNTOWN,1911,1,3,0,70586,"Office, Self-Storage Facility, Vocational School",31,2158629,1500229,658400,45,21.253917207378233,3
Large Office,98101,DOWNTOWN,1973,1,5,0,168115,"Data Center, Office, Retail Store",56,9536161,9536160,0,66,56.72402819498558,5
Other,98101,DOWNTOWN,1920,1,2,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",22,1247362,714939,532423,33,12.44931044089991,2
Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,8,0,59400,"Office, Retail Store",85,5071974,5071973,0,35,85.38675084175084,8
Hotel,98101,DOWNTOWN,1930,1,20,10043,88591,"Hotel, Parking, Restaurant",55,4841348,4290059,551288,59,48.42544953776343,20
Hotel,98101,DOWNTOWN,1985,1,7,0,71150,"Hotel, Parking, Restaurant, Retail Store",93,5348309,3243900,2104408,134,45.592410400562194,7
Hotel,98109,LAKE UNION,1959,1,5,42546,70627,"Hotel, Parking",75,5284344,2944680,2339663,145,41.69340337264786,5
Hotel,98109,LAKE UNION,2000,1,7,34735,115718,Hotel,61,6715187,3396109,3319078,200,29.34814808413557,7
Hotel,98109,LAKE UNION,1997,1,6,28200,88100,Hotel,66,5827596,3188457,2639138,162,36.19133938706016,6
Hotel,98119,MAGNOLIA / QUEEN ANNE,1998,1,6,36744,118858,Hotel,44,6836900,4558937,2277962,153,38.35616449881371,6
K-12 School,98136,EAST,1911,1,3,0,56072,K-12 School,58,3234788,551867,2682920,146,9.842113710943073,3
Hotel,98109,MAGNOLIA / QUEEN ANNE,1999,1,4,44891,78051,"Hotel, Parking",68,5337334,2423730,2913604,172,31.053157550832147,4
Small- and Mid-Sized Office,98122,CENTRAL,1962,1,2,0,54984,Office,61,3375211,1978230,1396981,88,35.97828459188128,2
Hotel,98109,LAKE UNION,2008,1,6,20732,63371,"Hotel, Parking",58,3706100,2812688,893412,67,44.384466080699376,6
Retail Store,98109,LAKE UNION,1929,1,2,0,58320,Retail Store,15,1049749,361803,687945,39,6.203755144032922,2
Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,2,0,52000,Other,52,2726369,1293349,0,102,24.872096153846154,2
Other,98109,MAGNOLIA / QUEEN ANNE,1928,1,1,0,60696,Other,8,875943,875943,0,6,14.431642941874259,1
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1986,1,2,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",75,4166306,4166305,0,29,65.21263774104683,2
Small- and Mid-Sized Office,98033,MAGNOLIA / QUEEN ANNE,1970,1,4,25930,50283,"Office, Other, Parking",68,3476212,2944692,531520,49,58.56237694648291,4
